epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.862,1.29143,3.05095,1.82353,0.00294,1,0.3168,0.185,0.40456,35.7306,0.71098,0.0003,0.0003,0.0003
2,327.656,1.088,2.17332,1.52883,0.00164,1,0.19772,0.09985,0.69274,37.0712,1.2018,0.000600373,0.000600373,0.000600373
3,524.976,1.01268,1.80903,1.46887,0.47014,0.5,0.55606,0.35184,0.63104,79.188,1.48452,0.00088837,0.00088837,0.00088837
4,708.194,0.96519,1.6865,1.42154,0.95587,0.5,0.73292,0.55877,0.49303,44.6029,0.87181,0.00116399,0.00116399,0.00116399
1,192.353,1.22939,3.53727,2.20748,0.18676,0.25,0.33089,0.1885,0.31627,71.3482,0.54071,0.000408333,0.000408333,0.000408333
2,330.653,0.99759,2.58668,1.76722,0.72553,0.5,0.62361,0.40637,0.41141,81.9722,0.66065,0.000743325,0.000743325,0.000743325
3,442.847,0.90639,2.24175,1.65269,0.80325,0.625,0.67176,0.45745,0.32298,104.98,0.45469,0.000995817,0.000995817,0.000995817
4,551.178,0.77562,1.95127,1.51766,0.95043,0.5,0.69717,0.65897,0.17,188.291,0.25082,0.00087875,0.00087875,0.00087875
5,673.324,0.7174,1.81823,1.43515,0.96919,0.5,0.68427,0.60247,0.17086,108.426,0.23024,0.000755,0.000755,0.000755
6,783.476,0.67112,1.64327,1.40325,0.58989,0.72158,0.72449,0.66503,0.14529,100.883,0.2164,0.00063125,0.00063125,0.00063125
7,884.548,0.61801,1.49817,1.32846,0.6369,0.875,0.81959,0.78049,0.13077,100.345,0.18665,0.0005075,0.0005075,0.0005075
8,998.924,0.55789,1.36776,1.28482,0.61346,0.99251,0.87157,0.81674,0.15237,96.4634,0.19826,0.00038375,0.00038375,0.00038375
9,1125.98,0.50685,1.22561,1.20887,0.77339,0.875,0.89944,0.85771,0.1112,92.468,0.15583,0.00026,0.00026,0.00026
10,1252.45,0.50137,1.12729,1.21812,0.79971,0.99839,0.921,0.921,0.06069,103.415,0.11478,0.00013625,0.00013625,0.00013625
