epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.508,1.27985,2.3169,5.95529,1.35533,0,0.72141,0.2,0.20687,0.13164,0.72141,0.2,0.20728,0.15608,1.08741,1.4464,8.24629,1.44144,0,0.0002375,0.0002375,0.0002375
2,45.5338,1.04032,1.52192,2.56941,1.15037,0,0.40806,0.39277,0.37723,0.3093,0.40806,0.39277,0.37724,0.30288,0.88298,1.64316,13.2194,1.11496,0,0.000477848,0.000477848,0.000477848
3,61.2612,0.99603,1.48546,1.88805,1.06951,0,0.52222,0.65,0.58127,0.42112,0.52222,0.65,0.58123,0.42014,0.90605,1.94235,4.64798,1.10902,0,0.000708295,0.000708295,0.000708295
4,71.4416,1.02032,1.42139,1.60436,1.09397,0,0.50978,0.76667,0.69584,0.50359,0.50978,0.76667,0.69351,0.50862,0.98799,2.63341,2.64788,1.24798,0,0.000928842,0.000928842,0.000928842
5,83.9139,1.01407,1.42139,1.51291,1.06561,0,0.81882,0.73978,0.7952,0.56407,0.81882,0.73978,0.78341,0.58046,1.03129,1.96727,1.17524,1.21072,0,0.00113949,0.00113949,0.00113949
6,97.4995,1.01353,1.43291,1.32108,1.07303,0,0.94569,0.46667,0.58169,0.42594,0.94569,0.46667,0.58399,0.44529,1.0435,1.66566,2.79884,1.19911,0,0.00112625,0.00112625,0.00112625
7,115.401,1.02388,1.29096,1.31277,1.07624,0,0.80265,0.71924,0.7916,0.59399,0.80265,0.71924,0.7896,0.62223,0.94157,1.50442,1.25446,1.11864,0,0.0011015,0.0011015,0.0011015
8,130.816,0.98894,1.38479,1.19033,1.04726,0,0.79033,0.6,0.74978,0.59317,0.79033,0.6,0.74995,0.58551,0.81215,1.33841,2.25287,1.08633,0,0.00107675,0.00107675,0.00107675
9,145.589,0.94027,1.25492,1.04679,1.03079,0,0.9495,0.71603,0.87305,0.69692,0.9495,0.71603,0.87291,0.7118,0.81032,1.2569,1.08062,1.06732,0,0.001052,0.001052,0.001052
10,157.186,0.90232,1.17883,1.01572,1.03259,0,0.71272,0.54103,0.68575,0.549,0.71272,0.54103,0.68552,0.51312,0.80793,2.53449,2.44405,1.11223,0,0.00102725,0.00102725,0.00102725
